Ball Speed (mph),Club Speed (mph),Smash,Carry Distance (yds),Launch Angle V (Â°),Spin (rpm),Height (ft),Time (s),Club
121.9,86.1,1.42,178.8,16.4,5982,99,6.4,6I
122.9,88.5,1.39,181.7,16.4,5550,99,6.4,6I
123.2,87,1.42,181.8,14.8,5552,91,6.2,6I
119.7,86.9,1.38,183.2,15.7,3684,83,5.9,6I
118.7,89.6,1.33,170.2,14.2,6775,82,6,6I
118,86.5,1.36,173.5,15.7,5071,85,5.9,6I
117.7,91.6,1.29,170.2,19.2,6306,105,6.5,6I
119.5,86.2,1.39,175.4,15.3,5386,87,6,6I
121.9,89.4,1.36,177.5,13,5931,80,5.9,6I
106.6,86.6,1.23,146.9,13.8,5784,57,5,6I
117.6,89,1.32,167.6,13.6,6840,77,5.9,6I
115.1,86.9,1.33,165.4,15.1,6078,79,5.8,6I
